DBUID,CSDUID,CSDNAME,CMAUID,CMANAME,PRUID,PRNAME,acs_idx_hf,acs_idx_emp,acs_idx_srf,acs_idx_psef,acs_idx_ef,acs_lvl_gs-1,acs_lvl_gs-3,acs_lvl_gs-5,acs_idx_caf
35200952004,3520005,Toronto,535.0,Toronto,35,ON,0.650753051,0.805522249,0.66235029,0.10329841,0.806151519,6.0,11.0,11.0,0.665776433
35200952005,3520005,Toronto,535.0,Toronto,35,ON,0.513487165,0.676730778,0.534102432,0.085738811,0.670468835,12.0,15.0,16.0,0.53081658
35200953001,3520005,Toronto,535.0,Toronto,35,ON,0.526061578,0.710926652,0.551150357,0.08322305,0.695016413,11.0,13.0,16.0,0.540700991
35200954001,3520005,Toronto,535.0,Toronto,35,ON,0.534373714,0.712379435,0.558862445,0.087572353,0.702468342,12.0,12.0,14.0,0.547167148
35200955006,3520005,Toronto,535.0,Toronto,35,ON,0.49396577,0.655088052,0.512969091,0.080256227,0.642444416,6.0,13.0,13.0,0.514475764
35200955007,3520005,Toronto,535.0,Toronto,35,ON,0.484843826,0.65478246,0.507383711,0.078640644,0.643917726,8.0,14.0,14.0,0.499814842
35200955008,3520005,Toronto,535.0,Toronto,35,ON,0.571859386,0.74786927,0.593856428,0.092454761,0.74134074,10.0,11.0,13.0,0.58724324
35200955009,3520005,Toronto,535.0,Toronto,35,ON,0.59193549,0.760803279,0.612424391,0.09508335,0.757924937,9.0,12.0,13.0,0.608494815
35200955010,3520005,Toronto,535.0,Toronto,35,ON,0.466876663,0.638938482,0.489019125,0.076651268,0.624962253,11.0,15.0,16.0,0.478372482
35200955011,3520005,Toronto,535.0,Toronto,35,ON,0.589919573,0.753972891,0.606639481,0.095643424,0.751043827,9.0,12.0,13.0,0.605493935
35200956001,3520005,Toronto,535.0,Toronto,35,ON,0.501359894,0.682705995,0.529001235,0.080457029,0.662446272,9.0,13.0,15.0,0.514565748
35200956002,3520005,Toronto,535.0,Toronto,35,ON,0.4626647,0.651732003,0.493960882,0.073170739,0.630865803,11.0,15.0,17.0,0.476899791
35200957001,3520005,Toronto,535.0,Toronto,35,ON,0.471519991,0.660986082,0.503256198,0.076767676,0.638541338,10.0,15.0,17.0,0.484603969
35200958002,3520005,Toronto,535.0,Toronto,35,ON,0.471188606,0.66437025,0.503779034,0.074960454,0.638779647,9.0,15.0,17.0,0.478078711
35200958003,3520005,Toronto,535.0,Toronto,35,ON,0.442798546,0.629619512,0.472069091,0.069861899,0.60417173,10.0,16.0,19.0,0.449708584
35200958004,3520005,Toronto,535.0,Toronto,35,ON,0.386273254,0.575575644,0.425009196,0.064566331,0.536312914,14.0,19.0,20.0,0.404358314
35200959001,3520005,Toronto,535.0,Toronto,35,ON,0.460950679,0.624916352,0.482498427,0.076204414,0.612310891,8.0,14.0,14.0,0.479333162
35200959002,3520005,Toronto,535.0,Toronto,35,ON,0.434474878,0.608343548,0.467487465,0.071894864,0.582746443,10.0,14.0,16.0,0.465193055
35200960001,3520005,Toronto,535.0,Toronto,35,ON,0.37960178,0.574078025,0.42075493,0.062967172,0.534734715,13.0,18.0,20.0,0.396281808
35200960004,3520005,Toronto,535.0,Toronto,35,ON,0.381243814,0.566719897,0.418305078,0.064108749,0.532935482,13.0,17.0,20.0,0.403926075
35200961001,3520005,Toronto,535.0,Toronto,35,ON,0.430264965,0.598185479,0.461501789,0.0709408,0.573198658,7.0,15.0,17.0,0.461007626
35200961002,3520005,Toronto,535.0,Toronto,35,ON,0.409269893,0.586997043,0.444001878,0.067882663,0.559507094,10.0,17.0,18.0,0.437692586
35200962001,3520005,Toronto,535.0,Toronto,35,ON,0.443258894,0.612717773,0.476211434,0.073216432,0.589160263,5.0,14.0,16.0,0.476731318
35200962002,3520005,Toronto,535.0,Toronto,35,ON,0.440735299,0.622408017,0.478416704,0.071850388,0.593074886,7.0,15.0,16.0,0.470404342
35200962003,3520005,Toronto,535.0,Toronto,35,ON,0.387281396,0.569694175,0.424725492,0.064988179,0.537976941,10.0,18.0,19.0,0.412800066
35200962004,3520005,Toronto,535.0,Toronto,35,ON,0.393936204,0.580158325,0.432330299,0.064988179,0.545975742,10.0,18.0,19.0,0.420550246
35200963001,3520005,Toronto,535.0,Toronto,35,ON,0.461275883,0.624673432,0.482415888,0.075885058,0.610989593,8.0,14.0,14.0,0.47943475
35200963002,3520005,Toronto,535.0,Toronto,35,ON,0.426091854,0.593899601,0.457015149,0.07035346,0.569671246,7.0,16.0,17.0,0.454971438
35200965001,3520005,Toronto,535.0,Toronto,35,ON,0.552599548,0.701829876,0.561728563,0.091415462,0.689511338,6.0,8.0,10.0,0.5736904
35200966001,3520005,Toronto,535.0,Toronto,35,ON,0.526795999,0.677203359,0.535056304,0.087811903,0.665576931,6.0,6.0,11.0,0.545816175
35200967001,3520005,Toronto,535.0,Toronto,35,ON,0.524392715,0.675823675,0.537149054,0.084593085,0.661573791,7.0,11.0,12.0,0.546276186
35200967002,3520005,Toronto,535.0,Toronto,35,ON,0.523294194,0.674688222,0.53609903,0.084593085,0.660456565,7.0,11.0,12.0,0.54570443
35200968003,3520005,Toronto,535.0,Toronto,35,ON,0.484655085,0.637698671,0.508635665,0.079158818,0.616704925,0.0,11.0,13.0,0.520725404
35200968007,3520005,Toronto,535.0,Toronto,35,ON,0.543791524,0.693506451,0.56020308,0.087496715,0.678326539,4.0,9.0,11.0,0.56925111
