DBUID,CSDUID,CSDNAME,CMAUID,CMANAME,PRUID,PRCODE,acs_idx_hf,acs_idx_emp,acs_idx_srf,acs_idx_psef,acs_idx_ef,acs_idx_caf,acs_lvl_gs-1,acs_lvl_gs-3,acs_lvl_gs-5
35200091002,3520005,Toronto,535.0,Toronto,35,ON,0.082145783,0.073152413,0.081328531,0.0,0.329653959,0.006507881,5.055033333,6.442116667,7.5193
35200091003,3520005,Toronto,535.0,Toronto,35,ON,0.079749444,0.078852085,0.079876927,0.0,0.320768028,0.006332459,5.45125,6.838333333,7.915516667
35200092001,3520005,Toronto,535.0,Toronto,35,ON,0.087560673,0.092243832,0.079475887,0.0,0.305889137,0.005457011,5.034983333,6.019583333,6.20475
35200093001,3520005,Toronto,535.0,Toronto,35,ON,0.075109075,0.080898531,0.056023625,0.0,0.28622006,0.0,5.3347,6.389316667,6.504466667
35200093002,3520005,Toronto,535.0,Toronto,35,ON,0.079132843,0.092753548,0.065644088,0.0,0.308034276,0.0,4.3272,5.496966667,5.623533333
35200094007,3520005,Toronto,535.0,Toronto,35,ON,0.093451089,0.071940027,0.062807882,0.0,0.299679799,0.005868201,1.27085,7.1253,7.251866667
35200094008,3520005,Toronto,535.0,Toronto,35,ON,0.063094311,0.10744865,0.078635818,0.0,0.361909561,0.0,2.196033333,2.814683333,3.6538
35200094009,3520005,Toronto,535.0,Toronto,35,ON,0.044964493,0.057063292,0.035658012,0.0,0.191513312,0.011392178,0.0,3.591933333,5.21195
35200094011,3520005,Toronto,535.0,Toronto,35,ON,0.092486971,0.074554836,0.062315619,0.0,0.274138276,0.002782976,0.584833333,7.072183333,7.19875
35200094012,3520005,Toronto,535.0,Toronto,35,ON,0.041507833,0.078590761,0.037528569,0.0,0.210848607,0.012727035,4.6023,5.200433333,7.0085
35200094013,3520005,Toronto,535.0,Toronto,35,ON,0.095804002,0.06428627,0.065690388,0.0,0.309111098,0.012318518,5.169416667,6.081966667,6.208533333
35200094014,3520005,Toronto,535.0,Toronto,35,ON,0.096359686,0.070881833,0.064412398,0.0,0.299040427,0.00612887,0.5796,6.636016667,6.762583333
35200094015,3520005,Toronto,535.0,Toronto,35,ON,0.09258827,0.07101351,0.062807792,0.0,0.290775601,0.005730906,0.28415,6.814283333,6.94085
35200094016,3520005,Toronto,535.0,Toronto,35,ON,0.094157737,0.07368916,0.063368837,0.0,0.280568274,0.002892625,0.0,6.769283333,6.89585
35200094017,3520005,Toronto,535.0,Toronto,35,ON,0.090982918,0.083271666,0.080768723,0.0,0.346415348,0.003329576,0.0,3.616783333,3.927516667
35200094018,3520005,Toronto,535.0,Toronto,35,ON,0.054592166,0.069779993,0.036540731,0.0,0.244224293,0.009268851,3.1498,4.684916667,6.353333333
35200094019,3520005,Toronto,535.0,Toronto,35,ON,0.092067348,0.071093182,0.062249675,0.0,0.273269654,0.002796122,0.619833333,7.107183333,7.23375
35200095001,3520005,Toronto,535.0,Toronto,35,ON,0.094099719,0.06066653,0.050842045,0.0,0.287386519,0.012033689,2.67365,6.19195,6.318516667
35200095002,3520005,Toronto,535.0,Toronto,35,ON,0.086894733,0.063703929,0.051028281,0.0,0.289875149,0.009405267,2.586533333,6.119916667,6.246483333
35200096001,3520005,Toronto,535.0,Toronto,35,ON,0.095910014,0.058548876,0.05018471,0.0,0.284317458,0.012071332,1.998966667,6.646883333,6.77345
35200097001,3520005,Toronto,535.0,Toronto,35,ON,0.084615588,0.059886214,0.049805595,0.0,0.316106979,0.009105958,3.6479,6.574033333,6.7006
